Device,fisica,model,key,version,1,AppVersion,3.3.2
Year,2013,Month,10,Day,2,Hour,18,Minute,48,Second,6,BatteryUsage (%),5.000000

comments
File created by Stages iPhone App.

sensor,present,smrec,zeroavg,model
pwr,no,no,no,n/a
spd,no,no,no,n/a
cad,no,no,no,n/a
hr,yes,yes,yes,n/a
footpod,no,no,no,n/a
gps,yes,no,no,n/a
workout,starttime,runningtime,pausedtime,wheeldist,cadavg,spdavg,pwravg,pwrPedalContribution,hravg,striderateavg,stridedist,gpsdist
,0,2994.071728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,103.000000,0.000000,0.000000,4078.541504

interval,starttime,runningtime,pausedtime,wheeldist,cadavg,spdavg,pwravg,pwrPedalContribution,hravg,striderateavg,stridedist,gpsdist
1,0.000000,2994.071728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,103.000000,0.000000,0.000000,4078.541504

time,pwr_accdist,pwr_cadence,pwr_speed,pwr_torque,pwr_instpwr,pwr_rightPedal,pwr_leftPedal,spd_accdist,spd_instspeed,cad_cadence,hr_heartrate,disp_atmospressure,disp_altitude,disp_temperature,gps_altitude,gps_lat,gps_lon,gps_dist,gps_speed,fp_accsteps,fp_accdist,fp_speed,interval,paused
59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,92.397408,0.000000,0.000000,0.000000,338.199192,35.592667,-97.609840,69.213893,1.371402,0.000000,0.000000,0.000000,1,0
60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,92.397408,0.000000,0.000000,0.000000,338.223991,35.592657,-97.609846,70.492292,1.208154,0.000000,0.000000,0.000000,1,0
61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,92.000000,0.000000,0.000000,0.000000,338.261749,35.592647,-97.609853,71.700446,1.208154,0.000000,0.000000,0.000000,1,0
62,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.831810,0.000000,0.000000,0.000000,338.299508,35.592638,-97.609859,72.908600,1.208154,0.000000,0.000000,0.000000,1,0
63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.831810,0.000000,0.000000,0.000000,338.347938,35.592628,-97.609866,74.119300,1.213295,0.000000,0.000000,0.000000,1,0
64,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.831810,0.000000,0.000000,0.000000,338.407249,35.592619,-97.609873,75.332595,1.213295,0.000000,0.000000,0.000000,1,0
65,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.831810,0.000000,0.000000,0.000000,338.466560,35.592610,-97.609880,76.545891,1.213295,0.000000,0.000000,0.000000,1,0
66,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000,0.000000,0.000000,338.565645,35.592599,-97.609886,77.837760,1.367102,0.000000,0.000000,0.000000,1,0
67,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,89.798203,0.000000,0.000000,0.000000,338.702813,35.592587,-97.609890,79.204861,1.367102,0.000000,0.000000,0.000000,1,0
68,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,89.798203,0.000000,0.000000,0.000000,338.839981,35.592576,-97.609895,80.571963,1.367102,0.000000,0.000000,0.000000,1,0
